ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
58,Temperature,2019,1,2,2019-01-02,28079058_83_98_19_01_02,20.041666666666668,26.0,15.0,ºC
4,Temperature,2019,1,2,2019-01-02,28079004_83_98_19_01_02,18.541666666666668,34.0,6.0,ºC
111,Temperature,2019,1,2,2019-01-02,28079111_83_98_19_01_02,27.458333333333332,49.0,17.0,ºC
59,Temperature,2019,1,2,2019-01-02,28079059_83_98_19_01_02,32.5,105.0,9.0,ºC
108,Precipitation,2019,1,2,2019-01-02,28079108_89_98_19_01_02,0.46249999999999997,1.1,0.2,l/m^2
38,Temperature,2019,1,2,2019-01-02,28079038_83_98_19_01_02,47.75,206.0,8.0,ºC
39,Precipitation,2019,1,2,2019-01-02,28079039_89_98_19_01_02,20.375,35.0,13.0,l/m^2
107,Precipitation,2019,1,2,2019-01-02,28079107_89_98_19_01_02,80.70833333333333,184.0,11.0,l/m^2
35,Temperature,2019,1,2,2019-01-02,28079035_83_98_19_01_02,72.125,135.0,41.0,ºC
107,Temperature,2019,1,2,2019-01-02,28079107_83_98_19_01_02,75.33333333333333,311.0,12.0,ºC
114,Temperature,2019,1,2,2019-01-02,28079114_83_98_19_01_02,188.75,385.0,73.0,ºC
106,Precipitation,2019,1,2,2019-01-02,28079106_89_98_19_01_02,74.0,198.0,4.0,l/m^2
108,Temperature,2019,1,2,2019-01-02,28079108_83_98_19_01_02,60.458333333333336,122.0,33.0,ºC
102,Temperature,2019,1,2,2019-01-02,28079102_83_98_19_01_02,20.93375,45.19,0.85,ºC
102,Precipitation,2019,1,2,2019-01-02,28079102_89_98_19_01_02,55.916666666666664,170.0,24.0,l/m^2
54,Temperature,2019,1,2,2019-01-02,28079054_83_98_19_01_02,11.333333333333334,27.0,4.0,ºC
113,Temperature,2019,1,2,2019-01-02,28079113_83_98_19_01_02,31.583333333333332,114.0,2.0,ºC
36,Temperature,2019,1,2,2019-01-02,28079036_83_98_19_01_02,0.18333333333333343,0.3,0.1,ºC
56,Precipitation,2019,1,3,2019-01-03,28079056_89_98_19_01_03,108.625,267.0,41.0,l/m^2
104,Temperature,2019,1,3,2019-01-03,28079104_83_98_19_01_03,58.541666666666664,280.0,8.0,ºC
107,Temperature,2019,1,3,2019-01-03,28079107_83_98_19_01_03,67.20833333333333,133.0,27.0,ºC
111,Temperature,2019,1,3,2019-01-03,28079111_83_98_19_01_03,1.3779166666666667,1.46,1.33,ºC
103,Precipitation,2019,1,3,2019-01-03,28079103_89_98_19_01_03,13.838333333333336,34.52,3.61,l/m^2
107,Precipitation,2019,1,3,2019-01-03,28079107_89_98_19_01_03,1.2516666666666665,1.32,1.2,l/m^2
8,Temperature,2019,1,3,2019-01-03,28079008_83_98_19_01_03,11.875833333333333,38.95,1.64,ºC
59,Precipitation,2019,1,3,2019-01-03,28079059_89_98_19_01_03,133.29166666666666,460.0,38.0,l/m^2
36,Temperature,2019,1,3,2019-01-03,28079036_83_98_19_01_03,0.12791666666666668,0.15,0.09,ºC
54,Temperature,2019,1,3,2019-01-03,28079054_83_98_19_01_03,145.375,451.0,61.0,ºC
56,Temperature,2019,1,3,2019-01-03,28079056_83_98_19_01_03,60.166666666666664,93.0,37.0,ºC
24,Precipitation,2019,1,3,2019-01-03,28079024_89_98_19_01_03,34.916666666666664,110.0,9.0,l/m^2
39,Precipitation,2019,1,3,2019-01-03,28079039_89_98_19_01_03,0.6083333333333334,1.8,0.3,l/m^2
38,Temperature,2019,1,3,2019-01-03,28079038_83_98_19_01_03,28.458333333333332,126.0,7.0,ºC
35,Temperature,2019,1,3,2019-01-03,28079035_83_98_19_01_03,61.416666666666664,133.0,23.0,ºC
18,Temperature,2019,1,3,2019-01-03,28079018_83_98_19_01_03,24.125,137.0,1.0,ºC
104,Precipitation,2019,1,3,2019-01-03,28079104_89_98_19_01_03,0.5625000000000001,1.3,0.4,l/m^2
54,Precipitation,2019,1,3,2019-01-03,28079054_89_98_19_01_03,46.958333333333336,215.0,7.0,l/m^2
109,Temperature,2019,1,3,2019-01-03,28079109_83_98_19_01_03,70.625,131.0,37.0,ºC
106,Precipitation,2019,1,3,2019-01-03,28079106_89_98_19_01_03,107.5,344.0,27.0,l/m^2
106,Temperature,2019,1,3,2019-01-03,28079106_83_98_19_01_03,0.4666666666666666,0.9,0.3,ºC
108,Temperature,2019,1,3,2019-01-03,28079108_83_98_19_01_03,105.5,255.0,18.0,ºC
108,Precipitation,2019,1,3,2019-01-03,28079108_89_98_19_01_03,127.16666666666667,372.0,30.0,l/m^2
110,Temperature,2019,1,3,2019-01-03,28079110_83_98_19_01_03,0.6291666666666668,1.6,0.2,ºC
24,Temperature,2019,1,3,2019-01-03,28079024_83_98_19_01_03,1.84375,2.48,1.53,ºC
102,Precipitation,2019,1,3,2019-01-03,28079102_89_98_19_01_03,0.8458333333333332,2.3,0.4,l/m^2
59,Temperature,2019,1,3,2019-01-03,28079059_83_98_19_01_03,74.45833333333333,201.0,38.0,ºC
102,Temperature,2019,1,3,2019-01-03,28079102_83_98_19_01_03,165.25,519.0,60.0,ºC
103,Temperature,2019,1,3,2019-01-03,28079103_83_98_19_01_03,0.21166666666666667,0.37,0.15,ºC
58,Temperature,2019,1,3,2019-01-03,28079058_83_98_19_01_03,16.125,28.0,9.0,ºC
113,Temperature,2019,1,3,2019-01-03,28079113_83_98_19_01_03,1.9666666666666661,6.0,0.4,ºC
4,Temperature,2019,1,3,2019-01-03,28079004_83_98_19_01_03,0.8041666666666667,1.5,0.2,ºC
112,Temperature,2019,1,3,2019-01-03,28079112_83_98_19_01_03,16.682083333333328,40.97,2.34,ºC
114,Temperature,2019,1,3,2019-01-03,28079114_83_98_19_01_03,27.333333333333332,66.0,8.0,ºC
115,Temperature,2019,1,3,2019-01-03,28079115_83_98_19_01_03,230.75,558.0,47.0,ºC
108,Precipitation,2019,1,4,2019-01-04,28079108_89_98_19_01_04,17.666666666666668,57.0,12.0,l/m^2
36,Temperature,2019,1,4,2019-01-04,28079036_83_98_19_01_04,0.8291666666666666,2.1,0.3,ºC
104,Precipitation,2019,1,4,2019-01-04,28079104_89_98_19_01_04,13.539166666666667,39.78,6.51,l/m^2
106,Temperature,2019,1,4,2019-01-04,28079106_83_98_19_01_04,224.125,868.0,72.0,ºC
102,Temperature,2019,1,4,2019-01-04,28079102_83_98_19_01_04,14.334583333333333,45.51,2.53,ºC
114,Temperature,2019,1,4,2019-01-04,28079114_83_98_19_01_04,0.8333333333333334,1.4,0.5,ºC
54,Precipitation,2019,1,4,2019-01-04,28079054_89_98_19_01_04,186.54166666666666,324.0,10.0,l/m^2
