Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
54;1931;IDM LA BOMBILLA;Paseo Senda del Rey, 8;437798;4476478;40.436623;-3.733391;;deportivo; JMD Moncloa Aravaca ; Moncloa Aravaca ;12;ORTIZ;23/01/2019
55;1272;CC EDUARDO CHILLIDA Y BIBLIOTECA MIGUEL DELIBES;C/ ARROYO BELINCOSO, 9;444577;4473403;40.40939173676510;-3.653214777359330;;cultural; JMD Moratalaz ; Moratalaz ;10;PECSA;24/10/2018
56;2138;CMM/CSS LADERA EL ALMENDRO;C/ LADERA DE LOS ALMENDROS, 4-6;447057;4472576;40.40210302381570;-3.6239189412211400;;social; JMD Moratalaz ; Moratalaz ;12,5;PECSA;24/10/2018
57;2461;EI SABINA (MORATALAZ);C/ CAÑÓN DEL RIO LOBOS;446468;4472964;40.405577;-3.630877;;educativo; JMD Moratalaz ; Moratalaz ;6;CYOPSA;
58;1938;CDM MORATALAZ;C/ VALDEBERNARDO 2;446331;4472220;40.39885854572330;-3.632432290214530; 8.104   ;deportivo; JMD Moratalaz ; Moratalaz ;40;FERROVIAL;08/03/2019
59;1745;CSS  Y APARTAMENTOS TUTELADOS RETIRO;C/ JOSE MARTÍNEZ DE VELASCO, 22;443346;4473992;40.41461489944010;-3.667774590446810;;social; JMD Retiro ; Retiro ;12,5;OHL;25/03/2019
60;97;ESCUELAS AGUIRRE;C/ PIO BAROJA 4;442787;4473989;40.41454970248990;-3.674350860475640;;educativo; JMD Retiro ; Retiro ;7;OHL;03/03/2019
61;124;CEIP JOSE CALVO SOTELO;AV/ CIUDAD DE BARCELONA, 83;442826;4472467;40.4008413126834;-3.6737662524006700;;educativo; JMD Retiro ; Retiro ;7;OHL;03/03/2019
62;750;CEIP CIUDAD DE ROMA;C/ JUAN ESPLANDIÚ,2 ;443564;4474129;40.41586394930110;-3.665205626185560;;educativo; JMD Retiro ; Retiro ;40;OHL;03/03/2019
63;2391;CMM LA ESTRELLA - CARMEN MARTÍN GAITE;C/ PEZ AUSTRAL 6 - 28007 MADRID;443476;4473852;40.41337871863890;-3.6662090478322400;;social; JMD Retiro ; Retiro ;12,5;;23/10/2016
64;1035;CMM/CENTRO DIA/CSS LA GUINDALERA;C/ PILAR DE ZARAGOZA, 28, Bajo;443247;4476088;40.43349910050290;-3.6691167784691700;;social; JMD Salamanca ; Salamanca ;3,7;FERROVIAL;20/09/2018
65;35;CC Y BIBLIOTECA BUENAVISTA;AV DE LOS TOREROS, 5;443092;4475923;40.43200210571460;-3.6709293330780200;;cultural; JMD Salamanca ; Salamanca ;7,15;FERROVIAL;13/11/2018
66;2074;CC JOSE LUIS LÓPEZ VÁZQUEZ;C/ FEBRERO, 4;451431;4477509;40.446818592300200;-3.572741163820910;;cultural; JMD San Blas Canillejas ; San Blas Canillejas ;15;DRAGADOS;19/11/2018
67;1974;JMD SAN BLAS;AV/ DE ARCENTALES, 26;448295;4476161;40.43448586473580;-3.6096102461466000;;administrativo; JMD San Blas Canillejas ; San Blas Canillejas ;37,5;DRAGADOS;07/03/2019
68;2033;CDM ANTONIO DÍAZ MIGUEL;C/JOAQUIN DICENTA, 1 ;441058;4480296;40.471254265861400;-3.6953256978963800;;deportivo; JMD Tetuán ; Tetuán ;25;;15/01/2018
69;2011;CC EDUARDO ÚRCULO Y BIBLIOTECA MARÍA ZAMBRANO;PLAZA DE DONOSO, 5;440857;4480052;40.46903299144090;-3.6976620067964900;;cultural; JMD Tetuán ; Tetuán ;27,5;FERROVIAL;12/11/2018
70;1026;CSS SAN FILIBERTO;C/ SAN FILIBERTO, 5 BJ ;439298;4470826;40.38581767783420;-3.7151818881165200;;social; JMD Usera ; Usera ;12,5;AURA;05/03/2018
71;1096;CMM ORCASUR;AV ORCASUR, 64;440559;4468845;40.36805374722890;-3.700129656851360;;social; JMD Usera ; Usera ;8,2;AURA;19/02/2018
72;1095;CC ORCASUR Y BIBLIOTECA GABRIEL GARCÍA MÁRQUEZ; PLAZA PUEBLO, 1 BJ1;440472;4468702;40.366768324753400;-3.701141063083800;;cultural; JMD Usera ; Usera ;30;AURA;16/10/2018
73;1092;JMD USERA;AV/. RAFAELA YBARRA, 41;439670;4470445;40.38241253009170;-3.7107515747822300;;administrativo; JMD Usera ; Usera ;5;AURA;14/12/2018
74;1894;CDM ORCASUR;C/ MOREJA, 3;440727;4469292;40.37021993373850;-3.6994689006077400;;deportivo; JMD Usera ; Usera ;17,5;AURA;14/02/2019
75;2441;EI PENSAMIENTO (MIRASIERRA);C/ MIRASIERRA, 27 ;448843;4473366;40.409341;-3.602926;;educativo;  JMD Usera ; Usera ;9,7;IMESAPI;03/01/2019
76;1890;CDM VICÁLVARO (MARGOT MOLÉS);Pº POLIDEPORTIVO, 3;448815;4473344;40.40914061858400;-3.603264732850390; 6.856   ;deportivo; JMD Vicálvaro ; Vicálvaro ;40;ELECTOSA ;09/05/2018
77;1763;CC VALDEBERNARDO Y BIBLIOTECA FRANCISCO AYALA;C/ BULEVAR INDALECIO PRIETO, 21;447278;4472321;40.39982891410400;-3.621281890570370; 3.200   ;cultural; JMD Vicálvaro ; Vicálvaro ;20;PECSA;12/11/2018
78;1028;CC EL MADROÑO Y BIBLIOTECA VICÁLVARO;C/ VILLARDONDIEGO, 36;448357;4472920;40.405292721436000;-3.6086161200017100; 2.452   ;cultural; JMD Vicálvaro ; Vicálvaro ;8,2;PECSA;12/11/2018
79;1352;JMD VICÁLVARO;PLAZA DON ANTONIO DE ANDRÉS, 18;448578;4472583;40.402270479784800;-3.6059845330840700; 1.674   ;administrativo; JMD Vicálvaro ; Vicálvaro ;3,7;PECSA;12/11/2018
80;1393;CSS PUERTO DE LAS PILAS;C/ FUENTIDUEÑA,16;447222;4469088;40.370701;-3.621679; 1.021   ;social; JMD Villa de Vallecas ; Villa de Vallecas ;20;PECSA;12/11/2018
81;277;CMM VILLA DE VALLECAS ;C/ PICO DE MAMPODRE, 6;447264;4469823;40.37732438108780;-3.6212400484216900; 815   ;social; JMD Villa de Vallecas ; Villa de Vallecas ;6;PECSA;16/11/2018
82;1383;JMD VILLA DE VALLECAS;Pº FEDERICO GARCÍA LORCA, 12;447248;4469998;40.3788998244401;-3.621454785869900; 3.290   ;administrativo; JMD Villa de Vallecas ; Villa de Vallecas ;12,5;PECSA;16/11/2018
83;1770;CDM FÉLIX RUBIO;C/CIUDADANÍA, 9;441281;4467659;40.357429678675200;-3.691528804696940;;deportivo; JMD Villaverde ; Villaverde ;8,2;AURA;07/03/2018
84;1953;CC MARCONI;AV/ MARCONI, 2 BAJO/1;440472;4465148;40.334751832113700;-3.700809560921590;;cultural; JMD Villaverde ; Villaverde ;10;AURA;19/02/2018
85;1905;CC LOS ROSALES (NUEVO ROSALES);AV/ LOS ROSALES, 133;442482;4466908;40.35074797433510;-3.6773064421969200;;cultural; JMD Villaverde ; Villaverde ;20;AURA;05/03/2018
86;1031;CC BOHEMIOS;C/ BOHEMIOS 1, B1;441066;4467547;40.35639654251880;-3.6940501846610800;;cultural; JMD Villaverde ; Villaverde ;10;AURA;19/02/2018
87;1109;JMD VILLAVERDE;C/ ARROYO BUENO, 53, Sot Dch 1;439603;4466726;40.348895848554600;-3.71120030905872;;administrativo; JMD Villaverde ; Villaverde ;17,5;AURA;12/11/2018
88;1895;CDM EL ESPINILLO;CARRETERA DE VILLAVERDE A VALLECAS, 19;441698;4467536;40.35634193991930;-3.686595141820630;;deportivo; JMD Villaverde ; Villaverde ;10;AURA;29/01/2020
89;2438;EI MAMUT  (BUTARQUE);C/ MARICARA, 32;442483;4465459;40.337689;-3.677163;;educativo; JMD Villaverde ; Villaverde ;5;UGARTE;03/01/2019
90;;PARQUE BOMBEROS Nº 8;CALLE BOADA 9;444572;4471763;40.39461731837050;-3.6531308970881300;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Puente de Vallecas ;25;FERROVIAL;18/10/2019
91;;CASA ASOCIACIONES HORTALEZA;CALLE MATAPOZUELOS 6;444896;4479194;40.461589;-3.649947;;social; JMD Hortaleza ; Hortaleza ;9;;23/03/2020
92;;EI PLÉYADES;AVENIDA SECUNDINO ZUAZO 52;447428;4482921;40.49533034052690;-3.62038557307297;;educativo; JMD Hortaleza ; Hortaleza ;8,2;;
93;;CMM VALLEHERMOSO;CALLE VALLEHERMOSO 47;439883;4476241;40.434646;-3.708785;;social; JMD Chamberí ; Chamberí ;5;;
94;1208;BIBLIOTECA GERARDO DIEGO;CALLE  MONTE AYA,  12;447138;4469889;40.37790196240430;-3.6227296605039500;;cultural; AG Cultura Turismo yDeportes ; Villa de Vallecas ;8,8;ACCIONA;20/11/2020
103;149;CEIP  SAN JUAN DE LA CRUZ;C/ DE HONDURAS, 10, 28016 MADRID;442495;4479193;40.459537375982200;-3.67954186336266;;educativo; JMD Chamartín ; Chamartín ;10,2;;10/11/2020
104;363;CEIP ARQUITECTO GAUDÍ;C/ ROSA JARDÓN, 10, 28016 MADRID;443279;4479632;40.46541828100190;-3.669067772820540;;educativo; JMD Chamartín ; Chamartín ;20,4;;10/11/2020
105;212;CEIP ISAAC ALBÉNIZ;C/ DRACENA, 29, 28016 MADRID;443272;4479500;40.46422875441010;-3.6691267410574400;;educativo; JMD Chamartín ; Chamartín ;24,99;;17/11/2020
106;245;CEIP PADRE POVEDA;AV/ ALFONSO XIII, 23, 28002 MADRID;443380;4478055;40.451218874985800;-3.6677240367753100;;educativo; JMD Chamartín ; Chamartín ;20,4;;10/11/2020
119;;EI PARQUE INGENIEROS;C/TABERNERA DEL PUERTO 26;440213;4467439;40.355369099561734;-3.704068831577452;;educativo; JMD Villaverde ; Villaverde ;5;;10/11/2020
