Numero,Distrito,Barrio,Calle,Direccion,N_Finca,Numero_de_Plazas,Ciudad,Longitud,Point,Latitud
79,RETIRO,PACIFICO,AVENIDA_DE_MENENDEZ_PELAYO,"AVENIDA DE MENENDEZ PELAYO, 38",38,24,Madrid,-3.6805524,POINT(-3.6805524  40.4050482),40.4050482
80a,ARGANZUELA,ATOCHA,AVENIDA_DE_LA_CIUDAD_DE_BARCELONA,"AVENIDA DE LA CIUDAD DE BARCELONA, S/N",S/N,24,Madrid,-3.6904816,POINT(-3.6904816  40.4074122),40.4074122
80b,ARGANZUELA,ATOCHA,AVENIDA_DE_LA_CIUDAD_DE_BARCELONA,"AVENIDA DE LA CIUDAD DE BARCELONA, S/N",S/N,27,Madrid,-3.6907238,POINT(-3.6907238  40.407626),40.407626
81,RETIRO,JERONIMOS,CALLE_DE_CLAUDIO_MOYANO,"CALLE DE CLAUDIO MOYANO, S/N",S/N,24,Madrid,-3.6919663,POINT(-3.6919663  40.4095758),40.4095758
82,RETIRO,ESTRELLA,CALLE_DE_LA_LIRA,"CALLE DE LA LIRA, 2",2,24,Madrid,-3.669683,POINT(-3.669683  40.4084793),40.4084793
83,RETIRO,NINO_JESUS,CALLE_DE_PIO_BAROJA,"CALLE DE PIO BAROJA, 8 B",8 B,24,Madrid,-3.6745339,POINT(-3.6745339  40.4132589),40.4132589
84,RETIRO,ADELFAS,CALLE_DEL_DOCTOR_ESQUERDO,"CALLE DEL DOCTOR ESQUERDO, 191",191,24,Madrid,-3.6726923,POINT(-3.6726923  40.4033695),40.4033695
85,RETIRO,JERONIMOS,AVENIDA_DE_MENENDEZ_PELAYO,"AVENIDA DE MENENDEZ PELAYO, 9",9,27,Madrid,-3.6799299,POINT(-3.6799299  40.4211415),40.4211415
86,CENTRO,CORTES,PASEO_DEL_PRADO,"PASEO DEL PRADO, S/N",S/N,21,Madrid,-3.6933298,POINT(-3.6933298  40.4185779),40.4185779
87,SALAMANCA,RECOLETOS,CALLE_DE_AYALA,"CALLE DE AYALA, 44",44,24,Madrid,-3.6835631,POINT(-3.6835631  40.4276717),40.4276717
88,SALAMANCA,CASTELLANA,CALLE_DE_VELAZQUEZ,"CALLE DE VELAZQUEZ, 73",73,24,Madrid,-3.6837471,POINT(-3.6837471  40.4312077),40.4312077
89,SALAMANCA,GOYA,CALLE_DE_AYALA,"CALLE DE AYALA, 102",102,24,Madrid,-3.6751716,POINT(-3.6751716  40.4272628),40.4272628
90a,SALAMANCA,RECOLETOS,CALLE_DE_GOYA,"CALLE DE GOYA, 18",18,24,Madrid,-3.6837297,POINT(-3.6837297  40.4250878),40.4250878
90b,SALAMANCA,RECOLETOS,CALLE_DE_GOYA,"CALLE DE GOYA, 20",20,6,Madrid,-3.6835613,POINT(-3.6835613  40.4250791),40.4250791
91,SALAMANCA,GOYA,CALLE_DE_HERMOSILLA,"CALLE DE HERMOSILLA, 73",73,24,Madrid,-3.6788203,POINT(-3.6788203  40.4261113),40.4261113
92,SALAMANCA,RECOLETOS,CALLE_DE_CLAUDIO_COELLO,"CALLE DE CLAUDIO COELLO, 45",45,24,Madrid,-3.6864821,POINT(-3.6864821  40.4262237),40.4262237
93,SALAMANCA,RECOLETOS,CALLE_DE_GOYA,"CALLE DE GOYA, 3",3,24,Madrid,-3.6894124,POINT(-3.6894124  40.4256984),40.4256984
94,SALAMANCA,RECOLETOS,PASEO_DE_RECOLETOS,"PASEO DE RECOLETOS, 22",22,21,Madrid,-3.6907044,POINT(-3.6907044  40.4233686),40.4233686
95,SALAMANCA,RECOLETOS,CALLE_DE_CLAUDIO_COELLO,"CALLE DE CLAUDIO COELLO, 19",19,24,Madrid,-3.6869914,POINT(-3.6869914  40.4226634),40.4226634
96,SALAMANCA,RECOLETOS,CALLE_DE_ALCALA,"CALLE DE ALCALA, 111",111,27,Madrid,-3.6820471,POINT(-3.6820471  40.4220516),40.4220516
97,SALAMANCA,GOYA,AVENIDA_DE_MENENDEZ_PELAYO,"AVENIDA DE MENENDEZ PELAYO, 1",1,27,Madrid,-3.6801515,POINT(-3.6801515  40.4224846),40.4224846
98,SALAMANCA,GOYA,AVENIDA_DE_FELIPE_II,"AVENIDA DE FELIPE II, 5",5,24,Madrid,-3.6754079,POINT(-3.6754079  40.4241911),40.4241911
99,SALAMANCA,GOYA,CALLE_DE_ALCANTARA,"CALLE DE ALCANTARA, 2",2,24,Madrid,-3.6739638,POINT(-3.6739638  40.4261048),40.4261048
100,SALAMANCA,GOYA,CALLE_DE_GOYA,"CALLE DE GOYA, 99",99,24,Madrid,-3.6738777,POINT(-3.6738777  40.4247843),40.4247843
101,SALAMANCA,GOYA,CALLE_DE_JORGE_JUAN,"CALLE DE JORGE JUAN, 131",131,24,Madrid,-3.6694246,POINT(-3.6694246  40.4231223),40.4231223
