Número,Distrito,Barrio ,Calle,Direccion,Nº Finca,Número de Plazas,Longitud,POINT,Latitud
168, ARGANZUELA,PALOS DE MOGUER, PASEO DE SANTA MARIA DE LA CABEZA," PASEO DE SANTA MARIA DE LA CABEZA, 32",32,24,-3.6959159,-3.6959159  40.4045828,40.4045828
169, ARGANZUELA,ACACIAS, CALLE DE TOLEDO," CALLE DE TOLEDO, 181",181,24,-3.713846,-3.713846  40.401578,40.401578
170, ARGANZUELA,ACACIAS, PASEO DE LA ESPERANZA," PASEO DE LA ESPERANZA, 21",21,24,-3.704403,-3.704403  40.4011039,40.4011039
171, ARGANZUELA,DELICIAS, CALLE DE EMBAJADORES," CALLE DE EMBAJADORES, 97",97,24,-3.6984459,-3.6984459  40.3997626,40.3997626
172, ARGANZUELA,PALOS DE MOGUER, CALLE DE BUSTAMANTE," CALLE DE BUSTAMANTE, 1",1,24,-3.6935448,-3.6935448  40.4008683,40.4008683
173, ARGANZUELA,ACACIAS, PASEO DE LA ESPERANZA," PASEO DE LA ESPERANZA, 59",59,24,-3.7023615,-3.7023615  40.3981757,40.3981757
174, ARGANZUELA,ACACIAS, PASEO DE LAS YESERIAS," PASEO DE LAS YESERIAS, 8",8,27,-3.7063771,-3.7063771  40.397417,40.397417
175, ARGANZUELA,CHOPERA, CALLE DE JAIME EL CONQUISTADOR," CALLE DE JAIME EL CONQUISTADOR, 30",30,21,-3.6983033,-3.6983033  40.3962687,40.3962687
176, ARGANZUELA,DELICIAS, CALLE DE ALICANTE," CALLE DE ALICANTE, 3",3,24,-3.6936302,-3.6936302  40.3942411,40.3942411
177, ARGANZUELA,DELICIAS, CALLE DE BOLIVAR," CALLE DE BOLIVAR, 3",3,24,-3.694087,-3.694087  40.3915019,40.3915019
178, RETIRO,PACÍFICO, CALLE DE LEON GIL DE PALACIO," CALLE DE LEON GIL DE PALACIO, 1",1,24,-3.6788939,-3.6788939  40.4030242,40.4030242
179, PUENTE DE VALLECAS,SAN DIEGO, AUTOVIA M-30," AUTOVIA M-30, S/N",S/N,24,-3.6690602,-3.6690602  40.3979341,40.3979341
180, ARGANZUELA,ATOCHA, CALLE DE LA RETAMA," CALLE DE LA RETAMA, 5",5,24,-3.6759244,-3.6759244  40.3941252,40.3941252
181, RETIRO,IBIZA, CALLE DE IBIZA," CALLE DE IBIZA, 18",18,27,-3.67664,-3.67664  40.4181748,40.4181748
182, RETIRO,ESTRELLA, CALLE DEL ALCALDE SAINZ DE BARANDA," CALLE DEL ALCALDE SAINZ DE BARANDA, 90",90,24,-3.6655023,-3.6655023  40.4187145,40.4187145
183, SALAMANCA,GOYA, CALLE DE HERMOSILLA," CALLE DE HERMOSILLA, 135",135,24,-3.6694506,-3.6694506  40.4256358,40.4256358
184, SALAMANCA,FUENTE DEL BERRO, PASEO DEL MARQUES DE ZAFRA," PASEO DEL MARQUES DE ZAFRA, 24",24,24,-3.6653095,-3.6653095  40.4260023,40.4260023
185, SALAMANCA,FUENTE DEL BERRO, GLORIETA DEL MARQUES DE ZAFRA," GLORIETA DEL MARQUES DE ZAFRA, 4",4,24,-3.661533,-3.661533  40.4250682,40.4250682
186, SALAMANCA,LISTA, CALLE DEL GENERAL PARDIÑAS," CALLE DEL GENERAL PARDIÑAS, 56",56,24,-3.6782783,-3.6782783  40.429069,40.429069
187, SALAMANCA,FUENTE DEL BERRO, CALLE DE ALEJANDRO GONZALEZ," CALLE DE ALEJANDRO GONZALEZ, 1",1,24,-3.6638407,-3.6638407  40.4301353,40.4301353
188, CIUDAD LINEAL,VENTAS, AVENIDA DE DAROCA," AVENIDA DE DAROCA, 2",2,27,-3.6589062,-3.6589062  40.4311658,40.4311658
189, CIUDAD LINEAL,CONCEPCIÓN, CALLE DE LA VIRGEN DE LA ALEGRIA," CALLE DE LA VIRGEN DE LA ALEGRIA, 18",18,24,-3.6555431,-3.6555431  40.4350206,40.4350206
190, SALAMANCA,CASTELLANA, CALLE DE VELAZQUEZ," CALLE DE VELAZQUEZ, 91",91,24,-3.6834711,-3.6834711  40.4343761,40.4343761
191, SALAMANCA,GUINDALERA, CALLE DE ALONSO HEREDIA," CALLE DE ALONSO HEREDIA, 1",1,18,-3.6740365,-3.6740365  40.4346168,40.4346168
192, SALAMANCA,GUINDALERA, AVENIDA DE LOS TOREROS," AVENIDA DE LOS TOREROS, 3",3,27,-3.6714315,-3.6714315  40.431855,40.431855
193, SALAMANCA,GUINDALERA, AVENIDA DE LOS TOREROS," AVENIDA DE LOS TOREROS, 47",47,24,-3.665644,-3.665644  40.4325204,40.4325204
194, SALAMANCA,GUINDALERA, CALLE DE FRANCISCO SILVELA," CALLE DE FRANCISCO SILVELA, 86",86,24,-3.6771947,-3.6771947  40.4371986,40.4371986
195, CHAMARTÍN,PROSPERIDAD, CALLE DEL PADRE INDALECIO HERNANDEZ," CALLE DEL PADRE INDALECIO HERNANDEZ, 1",1,24,-3.6754913,-3.6754913  40.4392483,40.4392483
196, CHAMARTÍN,CIUDAD JARDÍN, CALLE DE SUERO DE QUIÑONES," CALLE DE SUERO DE QUIÑONES, 2",2,24,-3.6750918,-3.6750918  40.4440957,40.4440957
197, CHAMARTÍN,EL VISO, AVENIDA DE CONCHA ESPINA," AVENIDA DE CONCHA ESPINA, S/N",S/N,24,-3.6780252,-3.6780252  40.4515501,40.4515501
198, CHAMBERÍ,ALMAGRO, GLORIETA DE RUBEN DARIO," GLORIETA DE RUBEN DARIO, 2",2,24,-3.6915713,-3.6915713  40.4331172,40.4331172
199, CHAMBERÍ,GAZTAMBIDE, CALLE DE FERNANDO EL CATOLICO," CALLE DE FERNANDO EL CATOLICO, 61",61,27,-3.7148406,-3.7148406  40.4343244,40.4343244
200, CHAMBERÍ,ARAPILES, GLORIETA DE QUEVEDO," GLORIETA DE QUEVEDO, 4",4,24,-3.704671,-3.704671  40.4336617,40.4336617
201, CHAMBERÍ,RÍOS ROSAS, CALLE DE JOSE ABASCAL," CALLE DE JOSE ABASCAL, 2",2,24,-3.7038161,-3.7038161  40.4387323,40.4387323
202, CHAMBERÍ,VALLEHERMOSO, CALLE DE SANTANDER," CALLE DE SANTANDER, S/N",S/N,24,-3.7080969,-3.7080969  40.4411686,40.4411686
203, CHAMBERÍ,VALLEHERMOSO, CALLE DEL GENERAL AMPUDIA," CALLE DEL GENERAL AMPUDIA, 2",2,24,-3.7144239,-3.7144239  40.4417547,40.4417547
204, TETUÁN,BELLAS VISTAS, CALLE DEL DOCTOR SANTERO," CALLE DEL DOCTOR SANTERO, 1",1,24,-3.7041702,-3.7041702  40.4476606,40.4476606
205, TETUÁN,BELLAS VISTAS, CALLE DE NAVARRA," CALLE DE NAVARRA, 1",1,24,-3.7033408,-3.7033408  40.4535024,40.4535024
206, TETUÁN,BERRUGUETE, CALLE DEL MARQUES DE VIANA," CALLE DEL MARQUES DE VIANA, 5",5,24,-3.6990499,-3.6990499  40.4607994,40.4607994
207, TETUÁN,VALDEACEDERAS, CALLE DE LAS AZUCENAS," CALLE DE LAS AZUCENAS, 1",1,18,-3.6973991,-3.6973991  40.4630291,40.4630291
208, CHAMARTÍN,CASTILLA, PASEO DE LA CASTELLANA," PASEO DE LA CASTELLANA, S/N",S/N,24,-3.6886852,-3.6886852  40.4665125,40.4665125
