Tipo Contenedor;Distrito;Tipo Vía;Nombre;Número;LONGITUD;LATITUD;DIRECCION
ENVASES;CARABANCHEL;CALLE;del Camino Viejo de Leganés;;-3,727248;40,387068;Calle  del Camino Viejo de Leganés,
ENVASES;CARABANCHEL;CALLE;del Camino Viejo de Leganés;;-3,732558;40,379385;Calle  del Camino Viejo de Leganés,
ENVASES;VILLAVERDE;CALLE;de la Corte de Faraón;;-3,696551;40,361573;Calle  de la Corte de Faraón,
ENVASES;VILLAVERDE;AVENIDA;de lVerbende lPaloma;;-3,6946401;40,360858;Avenida de lVerbende lPaloma,
ENVASES;CARABANCHEL;CALLE;del Camino Viejo de Leganés;;-3,732881;40,378886;Calle  del Camino Viejo de Leganés,
ENVASES;CARABANCHEL;CALLE;del Camino Viejo de Leganés;;-3,733959;40,376622;Calle  del Camino Viejo de Leganés,
ENVASES;PUENTE DE VALLECAS;CALLE;de los Leoneses;;-3,647176;40,3811971;Calle  de los Leoneses,
ENVASES;CARABANCHEL;PLAZA;de Los Navarros;;-3,742691;40,3743071;Plaza  de Los Navarros,
ENVASES;PUENTE DE VALLECAS;CALLE;de los Leoneses;;-3,648046;40,3830811;Calle  de los Leoneses,
ENVASES;USERA;CALLE;de Campotejar;;-3,704109;40,366705;Calle  de Campotejar,
ENVASES;VILLAVERDE;CALLE;del Verde Viento;;-3,717732;40,3531231;Calle  del Verde Viento,
ENVASES;VILLAVERDE;CALLE;de la Virgen de los Desamparados;;-3,698826;40,350667;Calle  de la Virgen de los Desamparados,
ENVASES;USERA;CALLE;de Campotejar;;-3,703709;40,3684801;Calle  de Campotejar,
ENVASES;VILLAVERDE;CALLE;Godella;;-3,688434;40,34248;Calle  Godella,
ENVASES;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,652641;40,4013691;Calle  de Ramón Pérez de Ayala,
ENVASES;PUENTE DE VALLECAS;CALLE;de Javier de Miguel;;-3,660678;40,387807;Calle  de Javier de Miguel,
ENVASES;VILLAVERDE;CALLE;de Moncada;;-3,691953;40,340124;Calle  de Moncada,
ENVASES;USERA;CALLE;de Campotejar;;-3,703283;40,370064;Calle  de Campotejar,
ENVASES;USERA;CALLE;de Campotejar;;-3,70345;40,3695951;Calle  de Campotejar,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,679057;40,379027;Ronda  del Sur,
ENVASES;VILLAVERDE;CALLE;del Arroyo Bueno;;-3,7054251;40,3488481;Calle  del Arroyo Bueno,
ENVASES;CARABANCHEL;PLAZA;de Francisca Pacheco;;-3,733061;40,377929;Plaza  de Francisca Pacheco,
ENVASES;USERA;CALLE;de Campotejar;;-3,704254;40,366096;Calle  de Campotejar,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,679186;40,379435;Ronda  del Sur,
ENVASES;CARABANCHEL;CALLE;de Jacinto Verdaguer;;-3,719463;40,3950681;Calle  de Jacinto Verdaguer,
ENVASES;PUENTE DE VALLECAS;CALLE;del Arroyo del Olivar;;-3,662049;40,392121;Calle  del Arroyo del Olivar,
ENVASES;PUENTE DE VALLECAS;CALLE;de Javier de Miguel;;-3,661964;40,38829;Calle  de Javier de Miguel,
ENVASES;PUENTE DE VALLECAS;CALLE;de la Sierra del Valle;;-3,659074;40,3902311;Calle  de la Sierra del Valle,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,660548;40,375912;Ronda  del Sur,
ENVASES;CARABANCHEL;CALLE;de Joaquín Turina;;-3,7585409;40,372059;Calle  de Joaquín Turina,
ENVASES;CARABANCHEL;CALLE;de Monseñor Óscar Romero;;-3,748985;40,3825791;Calle  de Monseñor Óscar Romero,
ENVASES;CARABANCHEL;AVENIDA;de Oporto;;-3,726065;40,3857711;Avenida de Oporto,
ENVASES;CARABANCHEL;AVENIDA;de Oporto;;-3,725868;40,3857371;Avenida de Oporto,
ENVASES;PUENTE DE VALLECAS;CALLE;de la Sierra del Valle;;-3,659392;40,389465;Calle  de la Sierra del Valle,
ENVASES;VILLAVERDE;CALLE;Godella;;-3,687264;40,3404611;Calle  Godella,
ENVASES;PUENTE DE VALLECAS;CALLE;de Benjamín Palencia;;-3,644915;40,3944951;Calle  de Benjamín Palencia,
ENVASES;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,651111;40,4007271;Calle  de Ramón Pérez de Ayala,
ENVASES;CARABANCHEL;AVENIDA;de NuestrSeñorde Valvanera;;-3,735137;40,3900701;Avenida de NuestrSeñorde Valvanera,
ENVASES;CARABANCHEL;CALLE;de Fernando Delgado;;-3,7489869;40,3836281;Calle  de Fernando Delgado,
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,640833;40,388443;Calle  de San Claudio,
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,640464;40,388938;Calle  de San Claudio,
