Tipo Contenedor;Distrito;Tipo Vía;Nombre;Número;LONGITUD;LATITUD;DIRECCION
ENVASES;CARABANCHEL;CALLE;de Consuelo Guzmán;;-3,752388;40,376244;Calle  de Consuelo Guzmán,
ENVASES;CARABANCHEL;CALLE;de Consuelo Guzmán;;-3,7532519;40,376424;Calle  de Consuelo Guzmán,
ENVASES;CARABANCHEL;CALLE;de Antonio Corpas;;-3,713894;40,391049;Calle  de Antonio Corpas,
ENVASES;VILLAVERDE;CARRETERA;de Villaverde a Vallecas;;-3,687724;40,355507;Carretera de Villaverde a Vallecas,
ENVASES;VILLAVERDE;CARRETERA;de Villaverde a Vallecas;;-3,68622;40,356425;Carretera de Villaverde a Vallecas,
ENVASES;CARABANCHEL;CALLE;de Antonio Corpas;;-3,7129199;40,3911021;Calle  de Antonio Corpas,
ENVASES;VILLAVERDE;CALLE;de Eduardo Barreiros;;-3,70093;40,3612011;Calle  de Eduardo Barreiros,
ENVASES;USERA;AVENIDA;de los Poblados;;-3,698284;40,370806;Avenida de los Poblados,
ENVASES;USERA;AVENIDA;de los Poblados;;-3,696986;40,3709811;Avenida de los Poblados,
ENVASES;USERA;AVENIDA;de los Poblados;;-3,698894;40,370882;Avenida de los Poblados,
ORGANICA;VILLAVERDE;PASEO;de Plata y Castañar;;-3,7177251;40,3495531;Paseo  de Plata y Castañar,
ORGANICA;VILLAVERDE;CALLE;de la Corte de Faraón;;-3,696551;40,361573;Calle  de la Corte de Faraón,
ORGANICA;VILLAVERDE;AVENIDA;de lVerbende lPaloma;;-3,6946401;40,360858;Avenida de lVerbende lPaloma,
ENVASES;PUENTE DE VALLECAS;AVENIDA;del Parque de Palomeras Bajas;;-3,6641879;40,380573;Avenida del Parque de Palomeras Bajas,
ORGANICA;VILLAVERDE;CALLE;de Orio;;-3,695791;40,3525331;Calle  de Orio,
ENVASES;USERA;CALLE;de Moreja;;-3,698081;40,36866;Calle  de Moreja,
ENVASES;USERA;CALLE;de Moreja;;-3,698239;40,3680581;Calle  de Moreja,
ENVASES;PUENTE DE VALLECAS;CALLE;del Lago Calafate;;-3,648783;40,3837231;Calle  del Lago Calafate,
ENVASES;CARABANCHEL;CALLE;de la Verdad;;-3,716146;40,395436;Calle  de la Verdad,
