IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Organic/-3,7361951_40,4064391",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Clemente fernandez,63,-3.7361951,40.4064391,"Calle Clemente fernandez, 63"
"Waste/-3,7306305_40,4124634",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Antonio zamora,45,-3.7306305,40.4124634,"Calle Antonio zamora, 45"
"Waste/-3,7393964_40,4103733",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Portugal,167,-3.7393964,40.4103733,"Avenida Portugal, 167"
"Waste/-3,7347093_40,4104779",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Grandeza española,90,-3.7347093,40.4104779,"Calle Grandeza española, 90"
"Glass/-3,7302897_40,4110623",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Santa ursula,17,-3.7302897,40.4110623,"Calle Santa ursula, 17"
"Waste/-3,7245051_40,4123176",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Saavedra fajardo,25,-3.7245051,40.4123176,"Calle Saavedra fajardo, 25"
"Waste/-3,7409515_40,4050857",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Perales,53,-3.7409515,40.4050857,"Paseo Perales, 53"
"Glass/-3,7356895_40,4089039",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Ramiro molina,37,-3.7356895,40.4089039,"Calle Ramiro molina, 37"
"Organic/-3,7362204_40,4109526",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Albeniz,2,-3.7362204,40.4109526,"Calle Albeniz, 2"
"Waste/-3,7331797_40,4115199",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Antonio zamora,95,-3.7331797,40.4115199,"Calle Antonio zamora, 95"
"Packaging/-3,7311419_40,4114964",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Barrafon,10,-3.7311419,40.4114964,"Calle Barrafon, 10"
"Waste/-3,7349099_40,4071791",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Santa aurea,4,-3.7349099,40.4071791,"Calle Santa aurea, 4"
"Organic/-3,7381263_40,4069977",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Federico mayo,8,-3.7381263,40.4069977,"Calle Federico mayo, 8"
"Waste/-3,7368613_40,4091971",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Herminio puertas,26,-3.7368613,40.4091971,"Calle Herminio puertas, 26"
"Glass/-3,7266006_40,4114159",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Caramuel,27,-3.7266006,40.4114159,"Calle Caramuel, 27"
"Glass/-3,7309379_40,4104838",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Jesuitas,10,-3.7309379,40.4104838,"Paseo Jesuitas, 10"
"Waste/-3,7338066_40,4048437",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Maria del carmen,74,-3.7338066,40.4048437,"Calle Maria del carmen, 74"
"Waste/-3,7273676_40,4143427",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Plaza Santa cristina,2,-3.7273676,40.4143427,"Plaza Santa cristina, 2"
"Organic/-3,7330261_40,4072561",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Solana de luche,15,-3.7330261,40.4072561,"Calle Solana de luche, 15"
"Paper-Cardboard/-3,7299636_40,4076732",Paper-Cardboard,PC 3200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Caramuel,70,-3.7299636,40.4076732,"Calle Caramuel, 70"
"Waste/-3,7286756_40,4089684",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Caramuel,51,-3.7286756,40.4089684,"Calle Caramuel, 51"
"Organic/-3,729926_40,4107753",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Industria,1,-3.729926,40.4107753,"Calle Industria, 1"
"Packaging/-3,729926_40,4107753",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Industria,1,-3.729926,40.4107753,"Calle Industria, 1"
"Waste/-3,7264634_40,412583",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Doña berenguela,17,-3.7264634,40.412583,"Calle Doña berenguela, 17"
"Waste/-3,7282799_40,4127812",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Antillon,8,-3.7282799,40.4127812,"Calle Antillon, 8"
"Glass/-3,7399433_40,4076719",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Juan pascual de mena,13,-3.7399433,40.4076719,"Calle Juan pascual de mena, 13"
"Organic/-3,7348708_40,4066753",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Santa aurea,13,-3.7348708,40.4066753,"Calle Santa aurea, 13"
"Packaging/-3,7234466_40,4102487",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Ermita del santo,22,-3.7234466,40.4102487,"Paseo Ermita del santo, 22"
"Packaging/-3,7328875_40,409761",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Pedro de repide,22,-3.7328875,40.409761,"Calle Pedro de repide, 22"
"Packaging/-3,7356064_40,4080852",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Agila,2,-3.7356064,40.4080852,"Calle Agila, 2"
"Organic/-3,7283939_40,4130672",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Antonio zamora,28,-3.7283939,40.4130672,"Calle Antonio zamora, 28"
"Organic/-3,7393631_40,4045547",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Sepulveda,32,-3.7393631,40.4045547,"Calle Sepulveda, 32"
"Waste/-3,7392724_40,4072014",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Apostoles,4,-3.7392724,40.4072014,"Avenida Apostoles, 4"
"Waste/-3,7394208_40,4056466",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Olivos,90,-3.7394208,40.4056466,"Paseo Olivos, 90"
"Packaging/-3,7421706_40,404572",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Sepulveda,132,-3.7421706,40.404572,"Calle Sepulveda, 132"
"Waste/-3,7408186_40,4079069",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Juan pascual de mena,19,-3.7408186,40.4079069,"Calle Juan pascual de mena, 19"
"Waste/-3,7347174_40,4075215",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Magin calvo,30,-3.7347174,40.4075215,"Calle Magin calvo, 30"
"Waste/-3,7334552_40,4077986",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Magin calvo,8,-3.7334552,40.4077986,"Calle Magin calvo, 8"
"Packaging/-3,7374894_40,4060439",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Vicente camaron,2,-3.7374894,40.4060439,"Calle Vicente camaron, 2"
"Packaging/-3,729926_40,4107753",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Industria,1,-3.729926,40.4107753,"Calle Industria, 1"
"Packaging/-3,7355973_40,406084",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Jesuitas,91,-3.7355973,40.406084,"Paseo Jesuitas, 91"
"Packaging/-3,7303792_40,4107191",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Jesuitas,2,-3.7303792,40.4107191,"Paseo Jesuitas, 2"
"Waste/-3,7416571_40,40615",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Huerta de castañeda,25,-3.7416571,40.40615,"Calle Huerta de castañeda, 25"
"Packaging/-3,7264634_40,412583",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Doña berenguela,17,-3.7264634,40.412583,"Calle Doña berenguela, 17"
"Waste/-3,7419017_40,4045236",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Sepulveda,59,-3.7419017,40.4045236,"Calle Sepulveda, 59"
"Waste/-3,7420836_40,4048661",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Cebreros,12,-3.7420836,40.4048661,"Calle Cebreros, 12"
"Waste/-3,7235903_40,4096059",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Ermita del santo,30,-3.7235903,40.4096059,"Paseo Ermita del santo, 30"
"Packaging/-3,7327444_40,4059596",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Olivos,1,-3.7327444,40.4059596,"Paseo Olivos, 1"
"Waste/-3,7376435_40,4094774",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Navas del rey,5,-3.7376435,40.4094774,"Calle Navas del rey, 5"
"Waste/-3,725866_40,4134193",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Antonio zamora,8,-3.725866,40.4134193,"Calle Antonio zamora, 8"
"Organic/-3,7321124_40,408549",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Jaime tercero,27,-3.7321124,40.408549,"Calle Jaime tercero, 27"
"Packaging/-3,7318925_40,4102226",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Jesuitas,22,-3.7318925,40.4102226,"Paseo Jesuitas, 22"
"Waste/-3,7393056_40,4088231",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Francisco brizuela,8,-3.7393056,40.4088231,"Calle Francisco brizuela, 8"
"Waste/-3,7393442_40,4050258",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Perales,30,-3.7393442,40.4050258,"Paseo Perales, 30"
"Waste/-3,7286965_40,4118629",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Jaime vera,11,-3.7286965,40.4118629,"Calle Jaime vera, 11"
"Packaging/-3,7391833_40,4067843",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Sagrados corazones,16,-3.7391833,40.4067843,"Calle Sagrados corazones, 16"
"Waste/-3,7267295_40,4097855",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Pozoblanco,3,-3.7267295,40.4097855,"Calle Pozoblanco, 3"
"Glass/-3,7243722_40,4111412",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Pablo casals,4,-3.7243722,40.4111412,"Calle Pablo casals, 4"
"Waste/-3,737221_40,4115136",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Portugal,149,-3.737221,40.4115136,"Avenida Portugal, 149"
"Organic/-3,739868_40,4045967",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Sepulveda,36,-3.739868,40.4045967,"Calle Sepulveda, 36"
"Packaging/-3,7324189_40,4110036",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Barrafon,35,-3.7324189,40.4110036,"Calle Barrafon, 35"
"Glass/-3,7417532_40,4067535",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Huerta de castañeda,16,-3.7417532,40.4067535,"Calle Huerta de castañeda, 16"
"Packaging/-3,7303409_40,4084288",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Jaime tercero,8,-3.7303409,40.4084288,"Calle Jaime tercero, 8"
"Packaging/-3,7399744_40,4050515",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Perales,48,-3.7399744,40.4050515,"Paseo Perales, 48"
"Waste/-3,7380261_40,4093306",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Clemente fernandez,9,-3.7380261,40.4093306,"Calle Clemente fernandez, 9"
"Waste/-3,7321892_40,4078911",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Fidias,18,-3.7321892,40.4078911,"Calle Fidias, 18"
"Waste/-3,7347174_40,4075215",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Magin calvo,30,-3.7347174,40.4075215,"Calle Magin calvo, 30"
"Packaging/-3,7394208_40,4056466",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Olivos,90,-3.7394208,40.4056466,"Paseo Olivos, 90"
"Packaging/-3,7329243_40,4054402",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Maria del carmen,66,-3.7329243,40.4054402,"Calle Maria del carmen, 66"
"Waste/-3,7334417_40,4088229",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Pericles,37,-3.7334417,40.4088229,"Calle Pericles, 37"
"Packaging/-3,7352121_40,4075374",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Jesuitas,77,-3.7352121,40.4075374,"Paseo Jesuitas, 77"
"Waste/-3,7318958_40,4134708",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Portugal,93,-3.7318958,40.4134708,"Avenida Portugal, 93"
"Packaging/-3,7416207_40,4073424",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Sagrados corazones,34,-3.7416207,40.4073424,"Calle Sagrados corazones, 34"
"Glass/-3,7365346_40,405578",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Olivos,57,-3.7365346,40.405578,"Paseo Olivos, 57"
"Waste/-3,7355292_40,4063935",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Paseo Jesuitas,87,-3.7355292,40.4063935,"Paseo Jesuitas, 87"
