IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Paper-Cardboard/-3,7568306_40,4036842",Paper-Cardboard,PC 3200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle San juan de mata,7,-3.7568306,40.4036842,"Calle San juan de mata, 7"
"Waste/-3,7797724_40,3815252",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Las aguilas,72,-3.7797724,40.3815252,"Avenida Las aguilas, 72"
"Waste/-3,7797724_40,3815252",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Las aguilas,72,-3.7797724,40.3815252,"Avenida Las aguilas, 72"
"Organic/-3,7797724_40,3815252",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Las aguilas,72,-3.7797724,40.3815252,"Avenida Las aguilas, 72"
"Organic/-3,7797724_40,3815252",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Las aguilas,72,-3.7797724,40.3815252,"Avenida Las aguilas, 72"
"Waste/-3,7797724_40,3815252",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Las aguilas,72,-3.7797724,40.3815252,"Avenida Las aguilas, 72"
"Packaging/-3,7797724_40,3815252",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Las aguilas,72,-3.7797724,40.3815252,"Avenida Las aguilas, 72"
"Packaging/-3,7797724_40,3815252",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Las aguilas,72,-3.7797724,40.3815252,"Avenida Las aguilas, 72"
"Packaging/-3,7797724_40,3815252",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Avenida Las aguilas,72,-3.7797724,40.3815252,"Avenida Las aguilas, 72"
"Packaging/-3,6979442_40,4690483",Packaging,Env 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Plaza Donoso,3,-3.6979442,40.4690483,"Plaza Donoso, 3"
"Waste/-3,7144629_40,4349207",Waste,Res 800,1,1,Chamberí,http://www.wikidata.org/entity/Q1763370,Calle Andres mellado,43,-3.7144629,40.4349207,"Calle Andres mellado, 43"
"Waste/-3,7144629_40,4349207",Waste,Res 800,1,1,Chamberí,http://www.wikidata.org/entity/Q1763370,Calle Andres mellado,43,-3.7144629,40.4349207,"Calle Andres mellado, 43"
"Packaging/-3,7285559_40,41082",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Jaime vera,25,-3.7285559,40.41082,"Calle Jaime vera, 25"
"Packaging/-3,700285_40,4114823",Packaging,Env 3200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Calle Ave maria,11,-3.700285,40.4114823,"Calle Ave maria, 11"
"Paper-Cardboard/-3,700285_40,4114823",Paper-Cardboard,PC 3200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Calle Ave maria,11,-3.700285,40.4114823,"Calle Ave maria, 11"
"Glass/-3,700285_40,4114823",Glass,V 2200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Calle Ave maria,11,-3.700285,40.4114823,"Calle Ave maria, 11"
"Paper-Cardboard/-3,6995369_40,4331312",Paper-Cardboard,PC 3200 CL,1,1,Chamberí,http://www.wikidata.org/entity/Q1763370,Calle Juan de austria,18,-3.6995369,40.4331312,"Calle Juan de austria, 18"
"Organic/-3,6919725_40,4504817",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Plaza Pablo ruiz picasso,1,-3.6919725,40.4504817,"Plaza Pablo ruiz picasso, 1"
"Organic/-3,6953739_40,4611065",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Francisco gervas,19,-3.6953739,40.4611065,"Calle Francisco gervas, 19"
"Waste/-3,6953739_40,4611065",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Francisco gervas,19,-3.6953739,40.4611065,"Calle Francisco gervas, 19"
"Organic/-3,6936005_40,4656412",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Aguileñas,4,-3.6936005,40.4656412,"Calle Aguileñas, 4"
"Waste/-3,6992728_40,4614964",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Ceuta,4,-3.6992728,40.4614964,"Calle Ceuta, 4"
