IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Paper-Cardboard/-3,7043843_40,4743746",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida El ferrol,13,-3.7043843,40.4743746,"Avenida El ferrol, 13"
"Packaging/-3,6926837_40,496001",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Braille,4,-3.6926837,40.496001,"Calle Braille, 4"
"Paper-Cardboard/-3,7024533_40,4832413",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Santiago de compostela,38,-3.7024533,40.4832413,"Calle Santiago de compostela, 38"
"Glass/-3,691824_40,4906651",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Lezama,1,-3.691824,40.4906651,"Calle Lezama, 1"
"Waste/-3,6808574_40,4877075",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Isla de java,27,-3.6808574,40.4877075,"Calle Isla de java, 27"
"Organic/-3,6625961_40,5157008",Organic,O 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Ronda Comunicacion,22,-3.6625961,40.5157008,"Ronda Comunicacion, 22"
"Paper-Cardboard/-3,6655279_40,5077705",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Paseo Tierra de melide,25,-3.6655279,40.5077705,"Paseo Tierra de melide, 25"
"Packaging/-3,6885711_40,4951069",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Plaza Baile,8,-3.6885711,40.4951069,"Plaza Baile, 8"
"Waste/-3,6847636_40,4860113",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Francisco sancha,2,-3.6847636,40.4860113,"Calle Francisco sancha, 2"
"Packaging/-3,6868336_40,4860565",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Angel mugica,19,-3.6868336,40.4860565,"Calle Angel mugica, 19"
"Glass/-3,6926074_40,5020249",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Alonso quijano,52,-3.6926074,40.5020249,"Calle Alonso quijano, 52"
"Paper-Cardboard/-3,6986384_40,4861478",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Sangenjo,30,-3.6986384,40.4861478,"Calle Sangenjo, 30"
"Paper-Cardboard/-3,7130346_40,4764219",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle La bañeza,13,-3.7130346,40.4764219,"Calle La bañeza, 13"
"Packaging/-3,6876264_40,4835104",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle San modesto,14,-3.6876264,40.4835104,"Calle San modesto, 14"
"Paper-Cardboard/-3,6776937_40,5040698",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Burguete,5,-3.6776937,40.5040698,"Calle Burguete, 5"
"Packaging/-3,6897288_40,49307",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Sardineta,2,-3.6897288,40.49307,"Calle Sardineta, 2"
"Packaging/-3,6955067_40,4913853",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Sabadell,15,-3.6955067,40.4913853,"Calle Sabadell, 15"
"Glass/-3,6751641_40,493704",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Carretera Fuencarral a hortaleza,6,-3.6751641,40.493704,"Carretera Fuencarral a hortaleza, 6"
"Paper-Cardboard/-3,6725752_40,5075282",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida Camino de santiago,45,-3.6725752,40.5075282,"Avenida Camino de santiago, 45"
"Waste/-3,6887801_40,4846811",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle San dacio,2,-3.6887801,40.4846811,"Calle San dacio, 2"
"Glass/-3,7054352_40,474271",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida El ferrol,25,-3.7054352,40.474271,"Avenida El ferrol, 25"
"Packaging/-3,6881177_40,4860436",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle San dacio,52,-3.6881177,40.4860436,"Calle San dacio, 52"
"Packaging/-3,6861602_40,4921741",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Isla de java,55,-3.6861602,40.4921741,"Calle Isla de java, 55"
"Waste/-3,6880345_40,4956336",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Francisco del pozo,17,-3.6880345,40.4956336,"Calle Francisco del pozo, 17"
"Paper-Cardboard/-3,704271_40,4850503",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Fermin caballero,38,-3.704271,40.4850503,"Calle Fermin caballero, 38"
"Glass/-3,7006305_40,4839142",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Santiago de compostela,30,-3.7006305,40.4839142,"Calle Santiago de compostela, 30"
"Glass/-3,6881756_40,4907123",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Lezama,19,-3.6881756,40.4907123,"Calle Lezama, 19"
"Packaging/-3,6938014_40,4945381",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Hospitalet de llobregat,4,-3.6938014,40.4945381,"Calle Hospitalet de llobregat, 4"
"Waste/-3,6905032_40,4944129",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Divina pastora,23,-3.6905032,40.4944129,"Calle Divina pastora, 23"
"Paper-Cardboard/-3,6995516_40,4854684",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Sangenjo,22,-3.6995516,40.4854684,"Calle Sangenjo, 22"
"Paper-Cardboard/-3,6651488_40,5104461",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Portomarin,15,-3.6651488,40.5104461,"Calle Portomarin, 15"
"Paper-Cardboard/-3,7064849_40,4726838",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Ribadavia,16,-3.7064849,40.4726838,"Calle Ribadavia, 16"
"Packaging/-3,6986799_40,4846393",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Santiago de compostela,20,-3.6986799,40.4846393,"Calle Santiago de compostela, 20"
"Waste/-3,6942721_40,4967873",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle San cugat del valles,9,-3.6942721,40.4967873,"Calle San cugat del valles, 9"
"Glass/-3,6946955_40,496538",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle San cugat del valles,11,-3.6946955,40.496538,"Calle San cugat del valles, 11"
"Waste/-3,6847636_40,4860113",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Francisco sancha,2,-3.6847636,40.4860113,"Calle Francisco sancha, 2"
"Waste/-3,6939416_40,4953915",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Braille,13,-3.6939416,40.4953915,"Calle Braille, 13"
"Waste/-3,6853823_40,4949048",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Isla de mindanao,2,-3.6853823,40.4949048,"Calle Isla de mindanao, 2"
"Packaging/-3,6861602_40,4921741",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Isla de java,55,-3.6861602,40.4921741,"Calle Isla de java, 55"
"Paper-Cardboard/-3,686169_40,5050231",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Alonso quijano,4,-3.686169,40.5050231,"Calle Alonso quijano, 4"
"Packaging/-3,6843188_40,486316",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida Llano castellano,13,-3.6843188,40.486316,"Avenida Llano castellano, 13"
"Packaging/-3,690264_40,4976557",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Afueras a valverde,26,-3.690264,40.4976557,"Calle Afueras a valverde, 26"
"Waste/-3,6916506_40,4919323",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Manresa,30,-3.6916506,40.4919323,"Calle Manresa, 30"
"Paper-Cardboard/-3,6967713_40,4957683",Paper-Cardboard,PC 3200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Braille,21,-3.6967713,40.4957683,"Calle Braille, 21"
"Glass/-3,690595_40,490116",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Salvatierra,2,-3.690595,40.490116,"Calle Salvatierra, 2"
"Glass/-3,7086289_40,4823503",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Pintor francisco llorens,2,-3.7086289,40.4823503,"Calle Pintor francisco llorens, 2"
"Packaging/-3,6913077_40,4934803",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Sandalio lopez,36,-3.6913077,40.4934803,"Calle Sandalio lopez, 36"
"Packaging/-3,688062_40,4981856",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Afueras a valverde,6,-3.688062,40.4981856,"Calle Afueras a valverde, 6"
