IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Waste/-3,755548_40,3667461",Waste,Res 3200 CL,0,3,Carabanchel,http://www.wikidata.org/entity/Q1001991,Calle  De alfonso fernández,23,-3.755548,40.3667461,"Calle  De alfonso fernández, 23"
"Waste/-3,692142_40,37447",Waste,Res 3200 CL,0,3,Usera,http://www.wikidata.org/entity/Q953368,Calle  De la giralda,2,-3.692142,40.37447,"Calle  De la giralda, 2"
"Waste/-3,650687_40,389187",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De sierra salvada,19,-3.650687,40.389187,"Calle  De sierra salvada, 19"
"Waste/-3,649236_40,3860631",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Plaza  De la constitución,-1,-3.649236,40.3860631,"Plaza  De la constitución, "
"Waste/-3,666981_40,379972",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Avenida De entrevías,72,-3.666981,40.379972,"Avenida De entrevías, 72"
"Waste/-3,654322_40,391812",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De pío felipe,42,-3.654322,40.391812,"Calle  De pío felipe, 42"
"Waste/-3,659584_40,379578",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Travesía De felipe de diego,1,-3.659584,40.379578,"Travesía De felipe de diego, 1"
"Waste/-3,619995_40,382034",Waste,Res 3200 CL,0,3,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,Calle  Del puerto del bruch,-1,-3.619995,40.382034,"Calle  Del puerto del bruch, "
"Waste/-3,744593_40,376818",Waste,Res 3200 CL,0,3,Carabanchel,http://www.wikidata.org/entity/Q1001991,Calle  De alba de tormes,22,-3.744593,40.376818,"Calle  De alba de tormes, 22"
"Waste/-3,664633_40,374145",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De aljarafe,4,-3.664633,40.374145,"Calle  De aljarafe, 4"
"Waste/-3,642901_40,3853691",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De gerardo diego,5,-3.642901,40.3853691,"Calle  De gerardo diego, 5"
"Waste/-3,635685_40,391492",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De rafael fernández hijicos,17,-3.635685,40.391492,"Calle  De rafael fernández hijicos, 17"
"Waste/-3,6350261_40,3895531",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De rafael fernández hijicos,45,-3.6350261,40.3895531,"Calle  De rafael fernández hijicos, 45"
"Waste/-3,734528_40,3972351",Waste,Res 3200 CL,0,3,Carabanchel,http://www.wikidata.org/entity/Q1001991,Calle  De zaida,16,-3.734528,40.3972351,"Calle  De zaida, 16"
"Waste/-3,659824_40,373268",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Avenida De las glorietas,14,-3.659824,40.373268,"Avenida De las glorietas, 14"
"Waste/-3,658895_40,3730121",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Avenida De las glorietas,27,-3.658895,40.3730121,"Avenida De las glorietas, 27"
"Waste/-3,636619_40,392159",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De rafael fernández hijicos,7,-3.636619,40.392159,"Calle  De rafael fernández hijicos, 7"
"Waste/-3,734632_40,393732",Waste,Res 3200 CL,0,3,Carabanchel,http://www.wikidata.org/entity/Q1001991,Calle  De la fragata,17,-3.734632,40.393732,"Calle  De la fragata, 17"
"Waste/-3,658908_40,3715401",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De esteban carros,18,-3.658908,40.3715401,"Calle  De esteban carros, 18"
"Waste/-3,648783_40,3837231",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  Del lago calafate,-1,-3.648783,40.3837231,"Calle  Del lago calafate, "
"Waste/-3,648533_40,3880531",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De pedro laborde,42,-3.648533,40.3880531,"Calle  De pedro laborde, 42"
"Waste/-3,6436839_40,393099",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Calle  De pont de molins,-1,-3.6436839,40.393099,"Calle  De pont de molins, "
"Waste/-3,646803_40,3890291",Waste,Res 3200 CL,0,3,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,,-1,-3.646803,40.3890291," , "
"Waste/-3,701305_40,351522",Waste,Res 3200 CL,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De anoeta,57,-3.701305,40.351522,"Calle  De anoeta, 57"
"Waste/-3,74086_40,384478",Waste,Res 3200 CL,0,3,Carabanchel,http://www.wikidata.org/entity/Q1001991,Calle  De la batalla de torrijos,27,-3.74086,40.384478,"Calle  De la batalla de torrijos, 27"
"Waste/-3,742604_40,388388",Waste,Res 3200 CL,0,3,Carabanchel,http://www.wikidata.org/entity/Q1001991,Calle  De la oca,94,-3.742604,40.388388,"Calle  De la oca, 94"
