IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Waste/-3,6874169_40,3516611",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De leonor góngora,9,-3.6874169,40.3516611,"Calle  De leonor góngora, 9"
"Waste/-3,70877_40,3437631",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De pedro jiménez,12,-3.70877,40.3437631,"Calle  De pedro jiménez, 12"
"Waste/-3,685521_40,3487961",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De turba,-1,-3.685521,40.3487961,"Calle  De turba, "
"Waste/-3,706303_40,34842",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De la plata,14,-3.706303,40.34842,"Calle  De la plata, 14"
"Waste/-3,707456_40,343297",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De pedro jiménez,22,-3.707456,40.343297,"Calle  De pedro jiménez, 22"
"Waste/-3,690249_40,352614",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De san macario,10,-3.690249,40.352614,"Calle  De san macario, 10"
"Waste/-3,70655_40,347042",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  Del doctor pérez domínguez,-1,-3.70655,40.347042,"Calle  Del doctor pérez domínguez, "
"Waste/-3,705536_40,3453291",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De josé ortuño ponce,8,-3.705536,40.3453291,"Calle  De josé ortuño ponce, 8"
"Waste/-3,709639_40,344994",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De calamocha,1,-3.709639,40.344994,"Calle  De calamocha, 1"
"Waste/-3,709902_40,343923",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Avenida De espinela,18,-3.709902,40.343923,"Avenida De espinela, 18"
"Waste/-3,715362_40,346268",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  Del grafito,14,-3.715362,40.346268,"Calle  Del grafito, 14"
"Waste/-3,688262_40,3498391",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De martínez oviol,54,-3.688262,40.3498391,"Calle  De martínez oviol, 54"
"Waste/-3,688691_40,3484521",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De eduardo minguito,16,-3.688691,40.3484521,"Calle  De eduardo minguito, 16"
"Waste/-3,705962_40,34372",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De gregorio ortiz,-1,-3.705962,40.34372,"Calle  De gregorio ortiz, "
"Waste/-3,686097_40,3529521",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De maría orúe,1,-3.686097,40.3529521,"Calle  De maría orúe, 1"
"Waste/-3,685049_40,350962",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De encarnación oviol,72,-3.685049,40.350962,"Calle  De encarnación oviol, 72"
"Waste/-3,690122_40,349807",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De francisco del pino,18,-3.690122,40.349807,"Calle  De francisco del pino, 18"
"Waste/-3,708584_40,3437071",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De pedro jiménez,14,-3.708584,40.3437071,"Calle  De pedro jiménez, 14"
"Waste/-3,688244_40,3496011",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De ignacio santos viñuelas,19,-3.688244,40.3496011,"Calle  De ignacio santos viñuelas, 19"
"Waste/-3,6915251_40,350768",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De josé del pino,14,-3.6915251,40.350768,"Calle  De josé del pino, 14"
"Waste/-3,68772_40,349052",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  Del platino,48,-3.68772,40.349052,"Calle  Del platino, 48"
"Waste/-3,689248_40,352839",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De villena,1,-3.689248,40.352839,"Calle  De villena, 1"
"Waste/-3,690998_40,3491761",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De santa florencia,7,-3.690998,40.3491761,"Calle  De santa florencia, 7"
"Waste/-3,6910979_40,3479981",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De santa florencia,23,-3.6910979,40.3479981,"Calle  De santa florencia, 23"
"Waste/-3,716552_40,343945",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De nuño gómez,-1,-3.716552,40.343945,"Calle  De nuño gómez, "
"Waste/-3,692273_40,350378",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De santa petronila,11,-3.692273,40.350378,"Calle  De santa petronila, 11"
"Waste/-3,6908981_40,3520991",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Plaza  De chozas de canales,7,-3.6908981,40.3520991,"Plaza  De chozas de canales, 7"
"Waste/-3,691154_40,350049",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De encarnación oviol,4,-3.691154,40.350049,"Calle  De encarnación oviol, 4"
"Waste/-3,708924_40,347468",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  Vieja de pinto,18,-3.708924,40.347468,"Calle  Vieja de pinto, 18"
"Waste/-3,709077_40,342923",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De gilena,24,-3.709077,40.342923,"Calle  De gilena, 24"
"Waste/-3,710198_40,34291",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De gómez acebo,29,-3.710198,40.34291,"Calle  De gómez acebo, 29"
"Waste/-3,704487_40,343339",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  Del sargento barriga,15,-3.704487,40.343339,"Calle  Del sargento barriga, 15"
"Waste/-3,688344_40,35103",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De josé del pino,70,-3.688344,40.35103,"Calle  De josé del pino, 70"
"Waste/-3,708579_40,3429401",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De abay,11,-3.708579,40.3429401,"Calle  De abay, 11"
"Waste/-3,691425_40,351313",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De maría martínez oviol,3,-3.691425,40.351313,"Calle  De maría martínez oviol, 3"
"Waste/-3,688823_40,3524941",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De martínez oviol,13,-3.688823,40.3524941,"Calle  De martínez oviol, 13"
"Waste/-3,707327_40,344197",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De gregorio ortiz,10,-3.707327,40.344197,"Calle  De gregorio ortiz, 10"
"Waste/-3,70337_40,3435511",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  Del sargento barriga,22,-3.70337,40.3435511,"Calle  Del sargento barriga, 22"
"Waste/-3,690922_40,34871",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  De santa florencia,15,-3.690922,40.34871,"Calle  De santa florencia, 15"
"Waste/-3,704222_40,3434141",Waste,Res 800,0,3,Villaverde,http://www.wikidata.org/entity/Q919536,Calle  Del sargento barriga,17,-3.704222,40.3434141,"Calle  Del sargento barriga, 17"
