IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Paper-Cardboard/-3,6364711_40,4097994",Paper-Cardboard,PC 3000 CAMPANA PE,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Antonio Cumella,3,-3.6364711,40.4097994,"Calle Antonio Cumella, 3"
"Paper-Cardboard/-3,6453251_40,4063989",Paper-Cardboard,PC 3000 CAMPANA PE,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Camino De Los Vinateros,138,-3.6453251,40.4063989,"Calle Camino De Los Vinateros, 138"
"Glass/-3,6543066_40,4077358",Glass,V 3000 CAMPANA PE,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Entre Arroyos,23,-3.6543066,40.4077358,"Calle Entre Arroyos, 23"
"Paper-Cardboard/-3,6412026_40,4016741",Paper-Cardboard,PC 3000 CAMPANA PE,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Hacienda De Pavones,196,-3.6412026,40.4016741,"Calle Hacienda De Pavones, 196"
"Paper-Cardboard/-3,6616788_40,4095858",Paper-Cardboard,PC 3000 CAMPANA PE,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Lituania,3,-3.6616788,40.4095858,"Calle Lituania, 3"
"Paper-Cardboard/-3,6430356_40,4060603",Paper-Cardboard,PC 3000 CAMPANA PE,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Camino De Los Vinateros,161,-3.6430356,40.4060603,"Calle Camino De Los Vinateros, 161"
"Glass/-3,654193_40,4106104",Glass,V 3000 CAMPANA PE ADAPT,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Camino De Los Vinateros,40,-3.654193,40.4106104,"Calle Camino De Los Vinateros, 40"
"Paper-Cardboard/-3,6440321_40,4067485",Paper-Cardboard,PC 3000 CAMPANA PE,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Camino De Los Vinateros,172,-3.6440321,40.4067485,"Calle Camino De Los Vinateros, 172"
"Glass/-3,6580247_40,4131562",Glass,V 3000 CAMPANA PE ADAPT,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Corregidor Diego De Valderrabano,77,-3.6580247,40.4131562,"Calle Corregidor Diego De Valderrabano, 77"
"Paper-Cardboard/-3,6271826_40,4045708",Paper-Cardboard,PC 3000 CAMPANA PE,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Laponia,6,-3.6271826,40.4045708,"Calle Laponia, 6"
"Paper-Cardboard/-3,6456651_40,4111448",Paper-Cardboard,PC 3000 CAMPANA PE,1,2,Moratalaz,http://www.wikidata.org/entity/Q2076109,Calle Marroquina,110,-3.6456651,40.4111448,"Calle Marroquina, 110"
