IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Packaging/-3,6947684_40,4240174",Packaging,Env 3200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Plaza Salesas,9,-3.6947684,40.4240174,"Plaza Salesas, 9"
"Glass/-3,6947684_40,4240174",Glass,V 2200 CL VACRI,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Plaza Salesas,9,-3.6947684,40.4240174,"Plaza Salesas, 9"
"Glass/-3,6993168_40,428045",Glass,V 2200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Calle Mejia lequerica,20,-3.6993168,40.428045,"Calle Mejia lequerica, 20"
"Waste/-3,6861602_40,4921741",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Isla de java,55,-3.6861602,40.4921741,"Calle Isla de java, 55"
"Packaging/-3,7238881_40,4795874",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida Cardenal herrera oria,271,-3.7238881,40.4795874,"Avenida Cardenal herrera oria, 271"
"Packaging/-3,7238881_40,4795874",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida Cardenal herrera oria,271,-3.7238881,40.4795874,"Avenida Cardenal herrera oria, 271"
"Organic/-3,7745068_40,398788",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Campo florido,6,-3.7745068,40.398788,"Calle Campo florido, 6"
"Packaging/-3,7741481_40,395554",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Cine,46,-3.7741481,40.395554,"Calle Cine, 46"
"Packaging/-3,771247_40,3961912",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Cartaya,8,-3.771247,40.3961912,"Calle Cartaya, 8"
"Packaging/-3,6960621_40,541674",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Kant,2,-3.6960621,40.541674,"Calle Kant, 2"
"Packaging/-3,6960621_40,541674",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Kant,2,-3.6960621,40.541674,"Calle Kant, 2"
"Packaging/-3,6960621_40,541674",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Kant,2,-3.6960621,40.541674,"Calle Kant, 2"
"Waste/-3,7176289_40,4953458",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida Ventisquero de la condesa,46,-3.7176289,40.4953458,"Avenida Ventisquero de la condesa, 46"
"Waste/-3,7176289_40,4953458",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida Ventisquero de la condesa,46,-3.7176289,40.4953458,"Avenida Ventisquero de la condesa, 46"
"Waste/-3,6943325_40,4295981",Waste,Res 800,1,1,Chamberí,http://www.wikidata.org/entity/Q1763370,Calle Zurbaran,9,-3.6943325,40.4295981,"Calle Zurbaran, 9"
"Waste/-3,6943325_40,4295981",Waste,Res 800,1,1,Chamberí,http://www.wikidata.org/entity/Q1763370,Calle Zurbaran,9,-3.6943325,40.4295981,"Calle Zurbaran, 9"
"Waste/-3,7335449_40,4109445",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Grandeza española,51,-3.7335449,40.4109445,"Calle Grandeza española, 51"
