IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Packaging/-3,6517196_40,457183",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Moscatelar,2,-3.6517196,40.457183,"Calle Moscatelar, 2"
"Packaging/-3,6565693_40,4768042",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Monovar,6,-3.6565693,40.4768042,"Calle Monovar, 6"
"Packaging/-3,6276469_40,4773432",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Antonio Lopez Torres,29,-3.6276469,40.4773432,"Calle Antonio Lopez Torres, 29"
"Packaging/-3,6303251_40,4786169",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Cambados,1,-3.6303251,40.4786169,"Calle Cambados, 1"
"Packaging/-3,6504826_40,4597666",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Napoles,31,-3.6504826,40.4597666,"Calle Napoles, 31"
"Packaging/-3,6543868_40,4755913",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Uria,16,-3.6543868,40.4755913,"Calle Uria, 16"
"Packaging/-3,659801_40,4791281",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Alicun,9,-3.659801,40.4791281,"Calle Alicun, 9"
"Packaging/-3,6524093_40,4748367",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Manuel Chaves Nogales,4,-3.6524093,40.4748367,"Calle Manuel Chaves Nogales, 4"
"Waste/-3,6493192_40,4638902",Waste,Res 3200 CL ADAPT,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Pegaso,11,-3.6493192,40.4638902,"Calle Pegaso, 11"
"Packaging/-3,6468991_40,4575254",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Plaza,3,-3.6468991,40.4575254,"Calle Plaza, 3"
"Waste/-3,6270454_40,4786348",Waste,Res 3200 CL ADAPT,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Villanueva De Arosa,62,-3.6270454,40.4786348,"Calle Villanueva De Arosa, 62"
"Packaging/-3,651018_40,4749076",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Avenida Virgen Del Carmen,48,-3.651018,40.4749076,"Avenida Virgen Del Carmen, 48"
"Packaging/-3,6597746_40,472822",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Mastelero,2,-3.6597746,40.472822,"Calle Mastelero, 2"
"Packaging/-3,6582268_40,4774073",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Cuevas Del Almanzora,185,-3.6582268,40.4774073,"Calle Cuevas Del Almanzora, 185"
"Packaging/-3,6613227_40,4754978",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Cuevas Del Almanzora,103,-3.6613227,40.4754978,"Calle Cuevas Del Almanzora, 103"
"Packaging/-3,659061_40,4734296",Packaging,Env 2400 CL,1,2,Hortaleza,http://www.wikidata.org/entity/Q1928529,Calle Mastelero,22,-3.659061,40.4734296,"Calle Mastelero, 22"
