IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Waste/-3,6882404_40,4323858",Waste,Res 800,1,2,Salamanca,http://www.wikidata.org/entity/Q1773521,Calle San Fernando Del Jarama,6,-3.6882404,40.4323858,"Calle San Fernando Del Jarama, 6"
"Waste/-3,6881807_40,432305",Waste,Res 800,1,2,Salamanca,http://www.wikidata.org/entity/Q1773521,Calle San Fernando Del Jarama,6,-3.6881807,40.432305,"Calle San Fernando Del Jarama, 6"
"Waste/-3,6630845_40,4243166",Waste,Res 800,1,2,Salamanca,http://www.wikidata.org/entity/Q1773521,Calle Francisco Lastres,26,-3.6630845,40.4243166,"Calle Francisco Lastres, 26"
"Waste/-3,664229_40,4220217",Waste,Res 800,1,2,Salamanca,http://www.wikidata.org/entity/Q1773521,Calle Basilio Paraiso,8,-3.664229,40.4220217,"Calle Basilio Paraiso, 8"
"Organic/-3,661907_40,4364765",Organic,O 800,1,2,Salamanca,http://www.wikidata.org/entity/Q1773521,Calle Brescia,22,-3.661907,40.4364765,"Calle Brescia, 22"
"Organic/-3,6773277_40,4398917",Organic,O 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Horcajuelo,7,-3.6773277,40.4398917,"Calle Horcajuelo, 7"
"Organic/-3,676696_40,4403909",Organic,O 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Pinilla Del Valle,12,-3.676696,40.4403909,"Calle Pinilla Del Valle, 12"
"Organic/-3,676696_40,4403909",Organic,O 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Pinilla Del Valle,12,-3.676696,40.4403909,"Calle Pinilla Del Valle, 12"
"Packaging/-3,66628_40,4542622",Packaging,Env 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Narcisos,36,-3.66628,40.4542622,"Calle Narcisos, 36"
"Waste/-3,6770109_40,4388665",Waste,Res 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Pradena Del Rincon,5,-3.6770109,40.4388665,"Calle Pradena Del Rincon, 5"
"Waste/-3,6781126_40,4393826",Waste,Res 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Pinilla Del Valle,2,-3.6781126,40.4393826,"Calle Pinilla Del Valle, 2"
"Organic/-3,676696_40,4403909",Organic,O 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Pinilla Del Valle,12,-3.676696,40.4403909,"Calle Pinilla Del Valle, 12"
"Waste/-3,6773277_40,4398917",Waste,Res 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Horcajuelo,7,-3.6773277,40.4398917,"Calle Horcajuelo, 7"
"Packaging/-3,6693833_40,4508569",Packaging,Env 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Luis Larrainza,45,-3.6693833,40.4508569,"Calle Luis Larrainza, 45"
"Organic/-3,6773277_40,4398917",Organic,O 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Horcajuelo,7,-3.6773277,40.4398917,"Calle Horcajuelo, 7"
"Organic/-3,6658589_40,4570033",Organic,O 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Avenida Aster,26,-3.6658589,40.4570033,"Avenida Aster, 26"
"Waste/-3,6869117_40,4686369",Waste,Res 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Agustin De Foxa,19,-3.6869117,40.4686369,"Calle Agustin De Foxa, 19"
"Waste/-3,6869117_40,4686369",Waste,Res 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Agustin De Foxa,19,-3.6869117,40.4686369,"Calle Agustin De Foxa, 19"
"Waste/-3,663841_40,4485014",Waste,Res 800,1,2,Chamartín,http://www.wikidata.org/entity/Q1766348,Calle Martin Machio,1,-3.663841,40.4485014,"Calle Martin Machio, 1"
