ANIO,MES,FECHA,ID,TIPO_EDIFICIO,EDIFICIO,URI_EDIFICIO,TIPO_DE_VIA,NOMBRE_DE_LA_CALLE,VIA,NUMERO_DEL_EDIFICIO,CODIGO_POSTAL,DISTRITO,URI_DISTRITO,CODIGO_DISTRITO,BARRIO,URI_BARRIO,CODIGO_BARRIO,POBLACION,COORDENADA_X,COORDENADA_Y,TIPO,CLASE,UNIDADES,CONSUMO
2021,4,2021-04,1106,Centros culturales,CC_Carril_del_Conde,,CALLE,CARRIL DEL CONDE,CALLE_CARRIL_DEL_CONDE,57,28043,HORTALEZA,Hortaleza,16,CANILLAS,Canillas_(Madrid),163,Madrid,444532.08,4479115.28,Externo,Gas,m3/h,5309.1
2021,4,2021-04,88,Centros culturales,CC_Casa_del_Reloj,Q56426877,PASEO,CHOPERA,PASEO_CHOPERA,6,28045,ARGANZUELA,Arganzuela,2,CHOPERA,La_Chopera,23,Madrid,440576.01,4471800.21,Externo,Energia activa,kWh,10613.6
2021,4,2021-04,88,Centros culturales,CC_Casa_del_Reloj,Q56426877,PASEO,CHOPERA,PASEO_CHOPERA,6,28045,ARGANZUELA,Arganzuela,2,CHOPERA,La_Chopera,23,Madrid,440576.01,4471800.21,Externo,Energia reactiva,kVAr,2781.5
2021,4,2021-04,906,Centros culturales,CC_Conde_Duque,Q56426480,CALLE,CONDE DUQUE,CALLE_CONDE_DUQUE,11,28015,CENTRO,Centro_(Madrid),1,UNIVERSIDAD,Universidad_(Madrid),15,Madrid,439716.08,4475426.59,Externo,Energia activa,kWh,201965
2021,4,2021-04,906,Centros culturales,CC_Conde_Duque,Q56426480,CALLE,CONDE DUQUE,CALLE_CONDE_DUQUE,11,28015,CENTRO,Centro_(Madrid),1,UNIVERSIDAD,Universidad_(Madrid),15,Madrid,439716.08,4475426.59,Externo,Energia reactiva,kVAr,42478
2021,4,2021-04,2011,Centros culturales y bibliotecas,CC_Eduardo_Urculo_&_Biblioteca_Maria_Zambrano,,PLAZA,DONOSO,PLAZA_DONOSO,5,28029,TETUAN,Tetuán_(Madrid),6,ALMENARA,Almenara_(Madrid),64,Madrid,441226.74,4480063.97,Externo,Energia activa,kWh,23562
2021,4,2021-04,2011,Centros culturales y bibliotecas,CC_Eduardo_Urculo_&_Biblioteca_Maria_Zambrano,,PLAZA,DONOSO,PLAZA_DONOSO,5,28029,TETUAN,Tetuán_(Madrid),6,ALMENARA,Almenara_(Madrid),64,Madrid,441226.74,4480063.97,Externo,Energia reactiva,kVAr,9018
2021,4,2021-04,2011,Centros culturales y bibliotecas,CC_Eduardo_Urculo_&_Biblioteca_Maria_Zambrano,,PLAZA,DONOSO,PLAZA_DONOSO,5,28029,TETUAN,Tetuán_(Madrid),6,ALMENARA,Almenara_(Madrid),64,Madrid,441226.74,4480063.97,Externo,Gas,m3/h,0
2021,4,2021-04,1028,Centros culturales,CC_El_Madronio_,,CALLE,VILLARDONDIEGO,CALLE_VILLARDONDIEGO,36,28032,VICALVARO,Vicálvaro,19,CASCO_HISTORICO_DE_VICALVARO,Casco_Histórico_de_Vicálvaro,191,Madrid,448384.22,4472915.3,Externo,Energia activa,kWh,10767
2021,4,2021-04,1028,Centros culturales,CC_El_Madronio_,,CALLE,VILLARDONDIEGO,CALLE_VILLARDONDIEGO,36,28032,VICALVARO,Vicálvaro,19,CASCO_HISTORICO_DE_VICALVARO,Casco_Histórico_de_Vicálvaro,191,Madrid,448384.22,4472915.3,Externo,Energia reactiva,kVAr,268
2021,4,2021-04,1028,Centros culturales,CC_El_Madronio_,,CALLE,VILLARDONDIEGO,CALLE_VILLARDONDIEGO,36,28032,VICALVARO,Vicálvaro,19,CASCO_HISTORICO_DE_VICALVARO,Casco_Histórico_de_Vicálvaro,191,Madrid,448384.22,4472915.3,Externo,Gas,m3/h,0
2021,4,2021-04,1017,Centros culturales,CC_El_Torito,,AVENIDA,MORATALAZ,AVENIDA_MORATALAZ,130,28030,MORATALAZ,Moratalaz,14,VINATEROS,Vinateros_(Madrid),146,Madrid,445135.88,4473047.36,Externo,Energia activa,kWh,3859.6
2021,4,2021-04,1017,Centros culturales,CC_El_Torito,,AVENIDA,MORATALAZ,AVENIDA_MORATALAZ,130,28030,MORATALAZ,Moratalaz,14,VINATEROS,Vinateros_(Madrid),146,Madrid,445135.88,4473047.36,Externo,Energia reactiva,kVAr,31.2
2021,4,2021-04,1017,Centros culturales,CC_El_Torito,,AVENIDA,MORATALAZ,AVENIDA_MORATALAZ,130,28030,MORATALAZ,Moratalaz,14,VINATEROS,Vinateros_(Madrid),146,Madrid,445135.88,4473047.36,Externo,Gas,m3/h,0.1
2021,4,2021-04,1017,Centros culturales,CC_Fernando_de_los_Rios,,CALLE,CAMARENA,CALLE_CAMARENA,10,28047,LATINA,Latina_(Madrid),10,ALUCHE,Aluche,104,Madrid,435805.88,4471950.18,Externo,Energia activa,kWh,28445
2021,4,2021-04,1017,Centros culturales,CC_Fernando_de_los_Rios,,CALLE,CAMARENA,CALLE_CAMARENA,10,28047,LATINA,Latina_(Madrid),10,ALUCHE,Aluche,104,Madrid,435805.88,4471950.18,Externo,Energia reactiva,kVAr,3566
2021,4,2021-04,1017,Centros culturales y bibliotecas,CC_Fernando_de_los_Rios_Y_Biblioteca_Aluche,,CALLE,CAMARENA,CALLE_CAMARENA,10,28047,LATINA,Latina_(Madrid),10,ALUCHE,Aluche,104,Madrid,435820.47,4471927.38,Externo,Energia activa,kWh,13550
